runNum,gaVal,tNum,tType,rt,kp,kpAcc,ret,retAcc
Run1,0.6287276422612293,77,target,0.78,f,1,CUE7-0,1
Run1,0.6287276422612293,78,nonlure,0.75,j,1,CUE7-0,1
Run1,0.6287276422612293,79,nonlure,0.49,j,1,CUE7-0,1
Run1,0.6287276422612293,80,lure,0.52,j,1,CUE7-0,1
Run2,0.9275145792648927,1,nonlure,0.607,j,1,CUE0-0,1
Run2,0.9275145792648927,2,target,0.686,f,1,CUE0-0,1
Run2,0.9275145792648927,3,nonlure,0.61,j,1,CUE0-0,1
Run2,0.9275145792648927,4,nonlure,0.606,j,1,CUE0-0,1
Run2,0.9275145792648927,5,lure,0.418,j,1,CUE0-0,1
Run2,0.9275145792648927,6,target,0.48,f,1,CUE0-0,1
Run2,0.9275145792648927,7,nonlure,0.774,j,1,CUE0-0,1
Run2,0.9275145792648927,8,lure,0.572,j,1,CUE0-0,1
Run2,0.9275145792648927,9,lure,0.525,j,1,CUE0-0,1
Run2,0.9275145792648927,10,nonlure,0.504,j,1,CUE0-0,1
Run2,0.9275145792648927,11,target,0.661,f,1,CUE1-0,1
Run2,0.9275145792648927,12,nonlure,0.679,j,1,CUE1-0,1
Run2,0.9275145792648927,13,nonlure,0.507,j,1,CUE1-0,1
Run2,0.9275145792648927,14,nonlure,0.67,j,1,CUE1-0,1
Run2,0.9275145792648927,15,lure,0.76,j,1,CUE1-0,1
Run2,0.9275145792648927,16,nonlure,0.694,j,1,CUE1-0,1
Run2,0.9275145792648927,17,lure,0.494,j,1,CUE1-0,1
Run2,0.9275145792648927,18,lure,0.593,j,1,CUE1-0,1
Run2,0.9275145792648927,19,target,0.573,f,1,CUE1-0,1
Run2,0.9275145792648927,20,nonlure,0.649,j,1,CUE1-0,1
Run2,0.9275145792648927,21,nonlure,0.704,j,1,CUE2-0,1
Run2,0.9275145792648927,22,lure,0.833,f,0,STIMULUS20-0,0
Run2,0.9275145792648927,23,nonlure,0.904,j,1,CUE2-0,1
Run2,0.9275145792648927,24,target,0.684,f,1,CUE2-0,1
Run2,0.9275145792648927,25,nonlure,0.706,j,1,CUE2-0,1
